class0,price,rank1_list,stars,reviews,delivery,rank_big,brand,stock
x1,180,1,4.4,6442,Sold by Furbo and Fulfilled by Amazon.,287,Furbo,In Stock.
x1,32.99,2,3.9,1839,Sold by Trekking tribe and Fulfilled by Amazon.,1310,TOOGE,In Stock.
x1,29.99,3,4.2,2032,Sold by FORamerica and Fulfilled by Amazon.,0,BOOCOSA-US,In Stock.
x1,139.95,4,4.4,376,Sold by Petkey and Fulfilled by Amazon.,8004,WOPET,In Stock.
x1,29.99,5,3.8,322,Sold by VI-SON and Fulfilled by Amazon.,9203,VINSION,In Stock.
x1,30.99,6,4.2,147,Sold by Trekking tribe and Fulfilled by Amazon.,10510,TOOGE,In Stock.
x1,34.99,7,4.1,63,Sold by OHOPE and Fulfilled by Amazon.,11764,Homenhancing,In Stock.
x1,174.29,8,4.4,135,"Sold by Petcube, Inc. and Fulfilled by Amazon.",0,Petcube,In Stock.
x1,29.99,9,4.4,59,Sold by Uplore and Fulfilled by Amazon.,15319,TAOCOCO,In Stock.
x1,41.98,10,3.8,19,Sold by Mariotus and Fulfilled by Amazon.,17848,DADYPET,In Stock.
x1,249,11,4.3,143,"Sold by Petcube, Inc. and Fulfilled by Amazon.",19212,Petcube,In Stock.
x1,30.99,12,4.3,163,Sold by Trekking tribe and Fulfilled by Amazon.,0,TOOGE,In Stock.
x1,69.87,13,4.3,118,Sold by FitBark Store and Fulfilled by Amazon.,22976,FitBark,In Stock.
x1,50.99,14,3.7,56,Sold by VI-SON and Fulfilled by Amazon.,24929,DOGCOOL,In Stock.
x1,129.98,15,3.9,206,Sold by Skymeedirect and Fulfilled by Amazon.,25098,SKYMEE,In Stock.
x1,280.49,16,4.4,17,Sold by PetChatz HDX and Fulfilled by Amazon.,26844,PetChatz,In Stock.
x1,29.99,17,3.9,128,Sold by VI-SON and Fulfilled by Amazon.,0,VINSION,In Stock.
x1,38.5,18,5,1,Sold by LiyaHair and Fulfilled by Amazon.,0,Mliyam,In Stock.
x1,170.99,19,4.3,126,Sold by Dogness Official and Fulfilled by Amazon.,36949,DOGNESS,In Stock.
x1,119.99,20,4.6,7,Sold by Bbtoy and Fulfilled by Amazon.,38094,Iseebiz,Only 12 left in stock - order soon.
x1,69.99,21,4.1,17,Sold by VStarcam and Fulfilled by Amazon.,38253,VSTARCAM,In Stock.
x1,29.99,22,4,63,Sold by GevTa and Fulfilled by Amazon.,39977,GevTa,In Stock.
x1,129.98,23,3.9,206,Sold by Skymeedirect and Fulfilled by Amazon.,40086,SKYMEE,In Stock.
x1,170.99,24,4.3,126,Sold by Dogness Official and Fulfilled by Amazon.,42108,DOGNESS,In Stock.
x1,32.09,25,4,246,Sold by Deatti_USA and Fulfilled by Amazon.,0,DEATTI,In Stock.
x1,114.99,26,5,6,Sold by PengXuan and Fulfilled by Amazon.,45030,NPET,In Stock.
x1,111.99,27,5,7,Sold by Star River and Fulfilled by Amazon.,49045,AONESY,Only 6 left in stock - order soon.
x1,0,28,4.1,583,,0,TAOCOCO,Currently unavailable.
x1,68.15,29,3,1,Ships from and sold by Essex Technology Group.,0,VIMTAG,In stock.
x1,18.56,30,2.9,35,Sold by Armer USA and Fulfilled by Amazon.,56757,RCA,In Stock.
x1,19.99,31,2.8,15,Sold by Timok and Fulfilled by Amazon.,0,Tiscen,In Stock.
x1,236.5,32,3.7,944,,67730,Petcube,Available from these sellers.
x1,39.95,33,3.6,20,Sold by Connecting World and Fulfilled by Amazon.,0,VIMTAG,Only 16 left in stock - order soon.
x1,72.87,34,4.5,5,Sold by YI Technology and Fulfilled by Amazon.,0,YI,In Stock.
x1,44.95,35,4,62,Sold by Best Deals Express and Fulfilled by Amazon.,0,RVA Camworks,In Stock.
x1,170.59,36,4.3,126,,71895,DOGNESS,Available from these sellers.
x1,32,37,2.9,14,Sold by hoSecurity and Fulfilled by Amazon.,74212,hosecurity,In Stock.
x1,106.99,38,3.8,8,Sold by Star River and Fulfilled by Amazon.,81267,AONESY,In Stock.
x1,36.99,39,4.9,14,Sold by DOGCOOL and Fulfilled by Amazon.,0,DOGCOOL,In Stock.
