日期,销量
20018/1/1,589
20018/1/2,561
20018/1/3,640
20018/1/4,656
20018/1/5,727
20018/1/6,697
20018/1/7,640
20018/1/8,599
20018/1/9,568
20018/1/10,577
20018/1/11,553
20018/1/12,582
20018/1/13,600
20018/1/14,566
20018/1/15,653
20018/1/16,673
20018/1/17,742
20018/1/18,716
20018/1/19,660
20018/1/20,617
20018/1/21,583
20018/1/22,587
20018/1/23,565
20018/1/24,598
20018/1/25,628
20018/1/26,618
20018/1/27,688
20018/1/28,705
20018/1/29,770
20018/1/30,736
20018/1/31,678
20018/2/1,639
20018/2/2,604
20018/2/3,611
20018/2/4,594
20018/2/5,634
20018/2/6,658
20018/2/7,622
20018/2/8,709
20018/2/9,722
20018/2/10,782
20018/2/11,756
20018/2/12,702
20018/2/13,653
20018/2/14,615
20018/2/15,621
20018/2/16,602
20018/2/17,635
20018/2/18,677
20018/2/19,635
20018/2/20,736
20018/2/21,755
20018/2/22,811
20018/2/23,798
20018/2/24,735
20018/2/25,697
20018/2/26,661
20018/2/27,667
20018/2/28,645
20018/3/1,688
20018/3/2,713
20018/3/3,667
20018/3/4,762
20018/3/5,784
20018/3/6,837
20018/3/7,817
20018/3/8,767
20018/3/9,722
20018/3/10,681
20018/3/11,687
20018/3/12,660
20018/3/13,698
20018/3/14,717
20018/3/15,696
20018/3/16,775
20018/3/17,796
20018/3/18,858
20018/3/19,826
20018/3/20,783
20018/3/21,740
20018/3/22,701
20018/3/23,706
20018/3/24,677
20018/3/25,711
20018/3/26,734
20018/3/27,690
20018/3/28,785
20018/3/29,805
20018/3/30,871
20018/3/31,845
20018/4/1,801
20018/4/2,764
20018/4/3,725
20018/4/4,723
20018/4/5,690
20018/4/6,734
20018/4/7,750
20018/4/8,707
20018/4/9,807
20018/4/10,824
20018/4/11,886
20018/4/12,859
20018/4/13,819
20018/4/14,783
20018/4/15,740
20018/4/16,747
20018/4/17,711
20018/4/18,751
20018/4/19,804
20018/4/20,756
20018/4/21,860
20018/4/22,878
20018/4/23,942
20018/4/24,913
20018/4/25,869
20018/4/26,834
20018/4/27,790
20018/4/28,800
20018/4/29,763
20018/4/30,800
20018/5/1,826
20018/5/2,799
20018/5/3,890
20018/5/4,900
20018/5/5,961
20018/5/6,935
20018/5/7,894
20018/5/8,855
20018/5/9,809
20018/5/10,810
20018/5/11,766
20018/5/12,805
20018/5/13,821
20018/5/14,773
20018/5/15,883
20018/5/16,898
20018/5/17,957
20018/5/18,924
20018/5/19,881
20018/5/20,837
20018/5/21,784
20018/5/22,791
20018/5/23,760
20018/5/24,802
20018/5/25,828
20018/5/26,778
20018/5/27,889
20018/5/28,902
20018/5/29,969
20018/5/30,947
20018/5/31,908
20018/6/1,867
20018/6/2,815
20018/6/3,812
20018/6/4,773
20018/6/5,813
20018/6/6,834
20018/6/7,782
20018/6/8,892
20018/6/9,903
20018/6/10,966
20018/6/11,937
20018/6/12,896
20018/6/13,858
20018/6/14,817
20018/6/15,827
20018/6/16,797
20018/6/17,843
