stars,date,type,short_d,content,product_name,name
2.0 out of 5 stars,"Reviewed in the United States on June 24, 2020",Rainbow String,For children,"This is for children, not adults. I cannot use the tuner, so I use one on my phone. It doesn't stay in tune longer than a couple minutes.",everjoys-Soprano,Kathy
1.0 out of 5 stars,"Reviewed in the United States on June 24, 2020",Rainbow String,Returned.,Impossible to tune.,everjoys-Soprano,Pam Palumbo
4.0 out of 5 stars,"Reviewed in the United States on June 22, 2020",Mahogany,Nice,Very nice product! The ukulele is very light and the craftsmanship is great. Everything it came with was good as well. Needs lots of tuning in the beginning,everjoys-Soprano,andy
5.0 out of 5 stars,"Reviewed in the United States on June 20, 2020",Rainbow String,Buy it,It was a great guitar for beginning guitar player. I love that it came with a tuner. Unfortunately it said it had guitar picks and those did not come with it. 😞,everjoys-Soprano,Donna
2.0 out of 5 stars,"Reviewed in the United States on June 18, 2020",Rainbow String,Wouldn't hold a tune,"It is a cute little ukulele, but is poor quality. The strings are very cheap plastic strings. Every time I finished tuning it, it would slip right back out of tune. I couldn't play it at all because it did not just slip out of tune a little, it was a huge difference that sounded very horrible and obvious. I HIGHLY recommend just spending a little extra money to buy a quality ukulele.",everjoys-Soprano,Amazon Customer
4.0 out of 5 stars,"Reviewed in the United States on June 20, 2020",Mahogany,Ok.. for beiginners.,"it is a good beginners ukelele, the tuner is not that great.",everjoys-Soprano,Xrissxross
4.0 out of 5 stars,"Reviewed in the United States on June 20, 2020",Rainbow String,Good for starters,Good beginning set.,everjoys-Soprano,C R S
1.0 out of 5 stars,"Reviewed in the United States on June 20, 2020",Honey,Never stays tuned,"This ukulele is poorly made, the strings are more toy like than anything and as soon as it’s tuned the strings are so plastic that it needs to be returned after a 1 little strum..definitely don’t recommend",everjoys-Soprano,Rachel walker
4.0 out of 5 stars,"Reviewed in the United States on June 19, 2020",Mahogany,Good,Hard to tune.,everjoys-Soprano,Angel T
3.0 out of 5 stars,"Reviewed in the United States on June 18, 2020",Rainbow String,Does not tune well,"Bought this for my 6-year-old's initial ukulele lessons. I like that the strings are different colors, but it cannot be satisfactorily tuned. I spent a long time tuning it yesterday to prepare for his first lesson, only to discover that even without anyone playing it, it had to be completely retuned today before his lesson. Fortunately I can afford to buy a nicer quality item if my child likes his lessons and wants to continue after the first few, but I can't recommend this product. Go with something of better quality!",everjoys-Soprano,Amazon Customer
1.0 out of 5 stars,"Reviewed in the United States on June 17, 2020",Black,came broken!,"BOx was mishandled, product was broken",everjoys-Soprano,Vanessa Donado
1.0 out of 5 stars,"Reviewed in the United States on June 16, 2020",Black,Wont stay tuned. Bad craftsmanship. Not good to learn on,The tuning pegs are awful. I've replaced the cords thinking that was the problem.  But I can not get it to stay tuned! Had it for two months and haven't been able to start learning how to play.,everjoys-Soprano,littia
1.0 out of 5 stars,"Reviewed in the United States on June 16, 2020",Honey,String mix up,Top two strings are interchanged.,everjoys-Soprano,Amazon Customer
3.0 out of 5 stars,"Reviewed in the United States on June 19, 2020",Natural Mahogany,"Comes as described, def made in China though","Despite a reply to the contrary, these are rather obviously marked ""made in China""- both the box and there is a sticker inside the guitar. It did come with everything noted in description, and looks like it will perhaps serve the purpose intended (my 5 yo wants to learn to play ""guitar"") Sadly, one cannot trust the Google Q&A because someone told me this was made in USA (HI). Ehhh, nope. The strings are thick fishing line material, it is hard to tell from pic/description. This was a purchase for a child who may lose interest after a short time, so I am ok with it. However, had this been intended for anyone 11+ I'd be nope, nope, nope....Not a homer, but C19 has me like-- buy something that will last, buy something better, buy USA. We will keep this, because we can upgrade if there is legitimate interest, but I wouldn't be shocked if you found something similar at 5Below at some point.",everjoys-Soprano,Amazon Customer
1.0 out of 5 stars,"Reviewed in the United States on June 19, 2020",Honey,Poor quality instrument - skip this one,Very disappointed in this ukelele - it needs tuning after about three minutes of strumming - kind did useless to playa. Sing when it gets out of tune mid song! I bought it as a gift for my son but ended up giving it to him after the return period ended so now we are stuck with an out of tune instrument.,everjoys-Soprano,Tammy Brauchler kayata
5.0 out of 5 stars,"Reviewed in the United States on June 16, 2020",Blue,Beautiful ukelele for a great price.,I am giving this beautiful ukelele to my neice. It looks very well made and the color is amazing. If it plays as good as it looks I will buy another.,everjoys-Soprano,Gregory Demarest
5.0 out of 5 stars,"Reviewed in the United States on June 15, 2020",Mahogany,Great for the price,great for a mid-life crisis learnee,everjoys-Soprano,Anonymous
5.0 out of 5 stars,"Reviewed in the United States on June 14, 2020",Honey,Good,nothing and bathroom,everjoys-Soprano,Pam Myers
5.0 out of 5 stars,"Reviewed in the United States on June 14, 2020",Rainbow String,Great starter!,Tuning it is hard whether you use the tuner or not but it's an amazing starter! Especially for a simple hobby. So many great videos on YouTube to use when starting!! And the protective case is great!,everjoys-Soprano,BrookeRaver
5.0 out of 5 stars,"Reviewed in the United States on June 13, 2020",Rainbow String,Good for beginners,like this product,everjoys-Soprano,user3593
5.0 out of 5 stars,"Reviewed in the United States on June 13, 2020",Blue,Got it for my boyfriend and he LOVES it,"Its pretty great! He loves that I got this for him and its even made him connect with his dad more and I couldnt be happier. I was thinking the blue paint would get scuffed easily and look crappy after a while but so far it still looks fantastic, not a single scuff mark (Oh we got the blue one btw) We might just get another one for me haha!",everjoys-Soprano,Megan
5.0 out of 5 stars,"Reviewed in the United States on June 12, 2020",Black,It's great for beginners,"This ukulele is very easy to use, the strings are very strong, and a joy to the ear",everjoys-Soprano,Deshon D Daise
5.0 out of 5 stars,"Reviewed in the United States on June 12, 2020",Rainbow String,Good,Love it,everjoys-Soprano,Lilly bokadrik
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Pink,Todo perfecto,Excelente,everjoys-Soprano,Jhon
5.0 out of 5 stars,"Reviewed in the United States on June 12, 2020",Black,Great  deal,"This is great for beginners... It's not fancy, but made well and looks nice",everjoys-Soprano,Tiffany
1.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Honey,No good,No good. Will not stay  tuned,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Black,Love it,Very beautiful and sounds lovely.,everjoys-Soprano,Bethany R Hensley
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Honey,Great beginner,Awesome,everjoys-Soprano,Nestor Salas
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Mahogany,Good starter kit,This has all you need to start learning the Ukulele!,everjoys-Soprano,Tamra
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Rainbow String,Fun and easy to learn how to use.,Good quality for price.Arrived quickly.,everjoys-Soprano,BLF
5.0 out of 5 stars,"Reviewed in the United States on June 10, 2020",Honey,Looks great,It was purchased as a gift.,everjoys-Soprano,DaMizan
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Honey,Best gift,I bought it for my daughterShe really enjoyed itThank you,everjoys-Soprano,Gereltsetseg Ganbat
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Honey,no headline,great,everjoys-Soprano,Julie Ann Mcrae
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Pink,Pink Ukulele - great.,For a five year old birthday girl. She loved it.,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 11, 2020",Mahogany,Learning to play the ukelele at age 77,I liked how nicely it was packaged and the accessories that came with it,everjoys-Soprano,Susan Cote
5.0 out of 5 stars,"Reviewed in the United States on June 10, 2020",Rainbow String,Pretty instrument,"Arrived on time, in perfect condition, well packed for shipping. I was surprised to see that a digital tuner was included. It is a pretty thing and I'm just starting.",everjoys-Soprano,Edie
4.0 out of 5 stars,"Reviewed in the United States on June 10, 2020",Black,Came as shown 💯,Great and came with everything listed!! Except came with a strap but no were on the uke to put it.,everjoys-Soprano,JEN
5.0 out of 5 stars,"Reviewed in the United States on June 10, 2020",Rainbow String,Don’t hesitate buy it! Beautiful sound!,"Love it! Easy to tune! Easy to learn on! The colored strings really helped me with chords and finger placement. I play it daily and the sound is awesome! I will be purchasing one for my niece. She is super jazzed to learn as well. I bought one for my other niece and she loves hers. We’re going to get a Uke jam session going! The gig bag is super thin and will not protect your uke so be careful when taking it places or even leaving it around the house. The uke is pretty sturdy too my kids (4,5,9) play it too!",everjoys-Soprano,Yvette
5.0 out of 5 stars,"Reviewed in the United States on June 10, 2020",Pink,Fun & Easy,I’m having great fun with it!,everjoys-Soprano,Brenda Gunnell
5.0 out of 5 stars,"Reviewed in the United States on June 9, 2020",Honey,Couldn't be happier! Thanks,Excellent instrument for beginner's!,everjoys-Soprano,Nicole Chapek
5.0 out of 5 stars,"Reviewed in the United States on June 9, 2020",Black,Great gift!,My son loves it. Cute little ukulele and was so impressed with all the extras!,everjoys-Soprano,Amazon Customer
3.0 out of 5 stars,"Reviewed in the United States on June 8, 2020",Black,Not the best sounds,Not the best sound quality so I returned it,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 8, 2020",Rainbow String,"Best for the price, nice product for beginners.","Easy to play, good for the beginners. Brought it for my 8 years old and gifted it as her birthday gift. She is super comfortable playing the ukulele. It comes with tuner, belt, and picks.",everjoys-Soprano,Tojo.ak
3.0 out of 5 stars,"Reviewed in the United States on June 8, 2020",Blue,Wish I would of known how 'child like' this was,Will not stay intune for longer than a few strums,everjoys-Soprano,MARSHA KIMES
5.0 out of 5 stars,"Reviewed in the United States on June 7, 2020",Heavy Mahogany,Great price for a great gift,My daughter loves it!,everjoys-Soprano,Amazon Customer
5.0 out of 5 stars,"Reviewed in the United States on June 7, 2020",Mahogany,Amazing ukelele,Loved everything about this ukelele and the extras it came with.,everjoys-Soprano,Aleyda Rodas
5.0 out of 5 stars,"Reviewed in the United States on June 5, 2020",Black,Great for Beginners,I really enjoy the black ukelele that I purchased through Amazon from you guys. It came with everything that said it was going to and it looked so magical coming out of the package. I was so excited to see it in the box on at my door. The tuner was such a nice add on because I did not have one myself. It took me a while to adjust it and figure it out myself but I enjoyed messing around with the different sounds it could produce. I've learned three chords so far and can't wait to learn an actual song. Thank you so much!,everjoys-Soprano,Jessica Centeno
5.0 out of 5 stars,"Reviewed in the United States on June 4, 2020",Light Mahogany,Great Product!,It was super helpful and easy to learn.,everjoys-Soprano,Andrew
