"end_day","country","asin","clicks","cost","impressions","gmv_ad","sales_ad","brand"
"2019-12-01","Ca","B072LW84XX","29","16.12","4393","0","0","AA"
"2019-12-01","Ca","B074M6KGXX","7","5.94","1842","0","0","AA"
"2019-12-01","Ca","B074M766XX","34","24.43","6105","69.88","2","AA"
"2019-12-01","Ca","B072BP12XX","30","9.08","8372","0","0","BB"
"2019-12-01","Ca","B078NT86XX","27","12.59","9167","56.21","2","CC"
"2019-12-01","Ca","B019R84IXX","4","4.45","750","0","0","DD"
"2019-12-01","Ca","B01F3DHEXX","1","0.35","765","0","0","DD"
"2019-12-01","Ca","B06VTR57XX","9","9.46","1850","0","0","DD"
"2019-12-01","Jp","B07X9LFKXX","9","2.75","4637","0","0","AA"
"2019-12-01","Jp","B07XCMZ1XX","13","3.76","4796","0","0","AA"
"2019-12-01","Jp","B07R7PRDXX","11","0.39","1434","0","0","BB"
"2019-12-01","Jp","B07R9XMRXX","43","9.03","3230","0","0","BB"
"2019-12-01","Jp","B07VNCB3XX","5","0.99","419","20.58","1","CC"
"2019-12-01","Jp","B07VPBDCXX","0","0","10","0","0","CC"
"2019-12-01","Jp","B01M3V7XXX","54","15.35","6096","39.81","2","DD"
"2019-12-01","Us","B071FH4HXX","29","15.01","12332","113.88","2","AA"
"2019-12-01","Us","B07PQLD9XX","8","6.36","4801","0","0","AA"
"2019-12-01","Us","B07PRL2MXX","20","18.74","2019","67.99","1","AA"
"2019-12-01","Us","B07TS5LSXX","8","5.26","1277","0","0","AA"
"2019-12-01","Us","B07WJYSSXX","60","41.5","11126","126.98","2","AA"
"2019-12-01","Us","B07WNT69XX","16","8.77","8079","0","0","AA"
"2019-12-01","Us","B06ZZRQKXX","76","49.72","15425","104.95","5","BB"
"2019-12-01","Us","B075M1F4XX","59","51.69","17203","35.99","1","BB"
"2019-12-01","Us","B07JXYLXXX","45","50.78","5186","179.97","3","BB"
"2019-12-01","Us","B07NRMHCXX","4","2.25","1058","0","0","BB"
"2019-12-01","Us","B07NRMHVXX","27","16.58","9185","13.18","2","BB"
"2019-12-01","Us","B07PX249XX","1","0.43","1112","0","0","BB"
"2019-12-01","Us","B07Q2BHCXX","1","0.63","5434","0","0","BB"
"2019-12-01","Us","B077ZRP3XX","253","159.51000000000002","30893","726.0699999999999","23","CC"
"2019-12-01","Us","B078NVL7XX","73","42.04","19837","84.12","3","CC"
"2019-12-01","Us","B07DJ32VXX","1","0.59","349","0","0","CC"
"2019-12-01","Us","B07DJ3WCXX","51","27.590000000000003","7517","64.78","2","CC"
"2019-12-01","Us","B07DJ429XX","1","0.4","72","0","0","CC"
"2019-12-01","Us","B07DJ4ZGXX","106","60.489999999999995","17605","194.59","6","CC"
"2019-12-01","Us","B07FNP5XXX","5","3.73","2525","0","0","CC"
"2019-12-01","Us","B07FNPP7XX","14","10.77","2211","0","0","CC"
"2019-12-01","Us","B07KF8L7XX","185","101.8","40387","569.86","19","CC"
"2019-12-01","Us","B07PSGNTXX","6","1.56","311","29.99","1","CC"
"2019-12-01","Us","B07TSH3BXX","3","2.09","2966","0","0","CC"
"2019-12-01","Us","B07TYV11XX","2","1.17","1020","0","0","CC"
"2019-12-01","Us","B07Y4ZTBXX","11","7.46","1708","101.77","3","CC"
"2019-12-01","Us","B01M29YGXX","12","8.79","1319","75.98","2","DD"
"2019-12-01","Us","B07HNXPXXX","15","10.31","6409","77.98","2","DD"
"2019-12-01","Us","B07MDYLMXX","21","14.88","4029","149.97","3","DD"
"2019-12-01","Us","B07PQ5XNXX","6","5.93","2506","49.99","1","DD"
"2019-12-01","Us","B07PR959XX","8","5.51","2193","0","0","DD"
"2019-12-01","Us","B07RYKZBXX","1","0.33","181","0","0","DD"
"2019-12-01","Us","B07QBPSQXX","53","28.699999999999996","4890","105.96","4","EE"
"2019-12-01","Us","B07QBPTNXX","41","23.759999999999998","10471","30.99","1","EE"
"2019-12-01","Us","B07QFR2XXX","25","12.82","6145","22.99","1","EE"
"2019-12-01","Us","B07QLPG8XX","109","69.43","30507","244.93","7","EE"
"2019-12-01","Us","B07QPR1PXX","12","7.55","3127","0","0","EE"
"2019-12-01","Us","B07QV4QTXX","4","2.94","951","0","0","EE"
"2019-12-01","Us","B07QV4S8XX","1","0.75","1514","0","0","EE"
"2019-12-01","Us","B07QY6R8XX","1","0.74","569","0","0","EE"
"2019-12-01","Us","B07R1HZVXX","3","2.16","608","0","0","EE"
"2019-12-01","Us","B07R2KP9XX","3","2","338","0","0","EE"
"2019-12-01","Us","B07S291NXX","0","0","154","0","0","EE"
"2019-12-01","Us","B07S4HN2XX","0","0","22","0","0","EE"
"2019-12-01","Us","B07TB311XX","3","2.7800000000000002","375","0","0","EE"
"2019-12-01","Us","B07TB3QWXX","2","2.27","231","0","0","EE"
"2019-12-02","Ca","B072LW84XX","29","16.1","5686","0","0","AA"
"2019-12-02","Ca","B074M6KGXX","34","26.009999999999998","2223","184.59","6","AA"
"2019-12-02","Ca","B074M766XX","26","18.46","9367","102.56","3","AA"
"2019-12-02","Ca","B072BP12XX","27","8.31","10517","0","0","BB"
"2019-12-02","Ca","B078NT86XX","29","14.55","9024","0","0","CC"
"2019-12-02","Ca","B019R84IXX","4","4.41","244","0","0","DD"
"2019-12-02","Ca","B01F3DHEXX","4","1.79","684","0","0","DD"
"2019-12-02","Ca","B06VTR57XX","8","9.85","1390","72.17","2","DD"
"2019-12-02","Jp","B07X9LFKXX","9","2.4","3694","0","0","AA"
"2019-12-02","Jp","B07XCMZ1XX","20","4.59","4572","0","0","AA"
"2019-12-02","Jp","B07R7PRDXX","4","0.18","1103","0","0","BB"
"2019-12-02","Jp","B07R9XMRXX","33","4.75","1975","0","0","BB"
"2019-12-02","Jp","B07VNCB3XX","4","0.92","559","0","0","CC"
"2019-12-02","Jp","B07VPBDCXX","0","0","4","0","0","CC"
"2019-12-02","Jp","B01M3V7XXX","54","13.9","3990","62.02","4","DD"
"2019-12-02","Us","B071FH4HXX","28","15.02","7706","129.98","2","AA"
"2019-12-02","Us","B07PQLD9XX","15","12.99","7967","64.99","1","AA"
"2019-12-02","Us","B07PRL2MXX","16","17.58","2508","124.38","2","AA"
"2019-12-02","Us","B07TS5LSXX","24","15.16","6938","124.98","2","AA"
"2019-12-02","Us","B07WJYSSXX","74","50.46","8198","818.86","14","AA"
"2019-12-02","Us","B07WNT69XX","13","8.35","6460","0","0","AA"
"2019-12-02","Us","B06ZZRQKXX","99","64.29","20710","109.95","5","BB"
"2019-12-02","Us","B075M1F4XX","124","109.41","49381","254.93","7","BB"
"2019-12-02","Us","B07JXYLXXX","194","201.69","18713","1451.76","24","BB"
"2019-12-02","Us","B07NRMHCXX","4","1.81","1723","0","0","BB"
"2019-12-02","Us","B07NRMHVXX","36","21.1","11732","48.53","7","BB"
"2019-12-02","Us","B07PX249XX","1","0.61","241","0","0","BB"
"2019-12-02","Us","B07Q2BHCXX","2","1.03","6908","8.99","1","BB"
"2019-12-02","Us","B077ZRP3XX","327","232.09","57524","1455.13","47","CC"
"2019-12-02","Us","B078NVL7XX","83","49.05","26275","174.74","6","CC"
"2019-12-02","Us","B07DJ32VXX","3","1.22","582","0","0","CC"
"2019-12-02","Us","B07DJ3WCXX","219","117.80000000000001","19389","1126.04","36","CC"
"2019-12-02","Us","B07DJ429XX","10","6.08","233","38.99","1","CC"
"2019-12-02","Us","B07DJ4ZGXX","175","139.44","20062","897.3","30","CC"
"2019-12-02","Us","B07FNP5XXX","7","7.08","2144","95.17","3","CC"
"2019-12-02","Us","B07FNPP7XX","32","26.86","10440","175.45","5","CC"
"2019-12-02","Us","B07KF8L7XX","576","333.33","123892","2543.95","85","CC"
"2019-12-02","Us","B07PSGNTXX","13","4.74","1254","89.17","3","CC"
"2019-12-02","Us","B07TSH3BXX","10","5.8500000000000005","7772","0","0","CC"
"2019-12-02","Us","B07TYV11XX","5","2.75","2672","0","0","CC"
"2019-12-02","Us","B07Y4ZTBXX","15","9.88","4411","70.28","2","CC"
"2019-12-02","Us","B01M29YGXX","13","8.72","2624","37.99","1","DD"
"2019-12-02","Us","B07HNXPXXX","59","38.69","22648","239.94","6","DD"
"2019-12-02","Us","B07HNXVZXX","2","1.37","552","0","0","DD"
"2019-12-02","Us","B07MDYLMXX","30","25.21","11488","201.65","4","DD"
"2019-12-02","Us","B07PQ5XNXX","7","7.6","2538","62.39","1","DD"
"2019-12-02","Us","B07PR959XX","17","10.16","3111","64.99","1","DD"
"2019-12-02","Us","B07QBPSQXX","102","56.129999999999995","12717","265.9","10","EE"
"2019-12-02","Us","B07QBPTNXX","71","39.14","23361","112.96","4","EE"
"2019-12-02","Us","B07QFR2XXX","30","17.509999999999998","11803","45.98","2","EE"
"2019-12-02","Us","B07QLPG8XX","99","62.94","33597","170.95","5","EE"
"2019-12-02","Us","B07QPR1PXX","21","12.23","6285","34.99","1","EE"
"2019-12-02","Us","B07QV4QTXX","0","0","907","0","0","EE"
"2019-12-02","Us","B07QV4S8XX","3","2.23","1238","8.99","1","EE"
"2019-12-02","Us","B07QY6R8XX","1","0.73","613","0","0","EE"
"2019-12-02","Us","B07R1HZVXX","2","1.48","706","0","0","EE"
"2019-12-02","Us","B07R2KP9XX","10","6.97","426","26.97","3","EE"
"2019-12-02","Us","B07S291NXX","2","2.78","1606","0","0","EE"
"2019-12-02","Us","B07S4HN2XX","14","16.58","3381","27.96","4","EE"
"2019-12-02","Us","B07TB311XX","10","17.08","761","21.98","2","EE"
"2019-12-03","Ca","B072LW84XX","30","15.280000000000001","3961","91.17","1","AA"
"2019-12-03","Ca","B074M6KGXX","22","15.69","2910","95.71000000000001","3","AA"
"2019-12-03","Ca","B074M766XX","41","28.92","9129","66.09","2","AA"
"2019-12-03","Ca","B072BP12XX","17","4.84","5865","34.94","1","BB"
"2019-12-03","Ca","B078NT86XX","15","7.07","7958","29.63","1","CC"
"2019-12-03","Ca","B019R84IXX","4","4.53","775","0","0","DD"
"2019-12-03","Ca","B01F3DHEXX","2","0.86","415","0","0","DD"
"2019-12-03","Ca","B06VTR57XX","11","8.37","1287","72.17","2","DD"
"2019-12-03","Jp","B07X9LFKXX","9","2.85","3636","0","0","AA"
"2019-12-03","Jp","B07XCMZ1XX","17","4.73","3979","0","0","AA"
"2019-12-03","Jp","B07R7PRDXX","6","0.27","643","0","0","BB"
"2019-12-03","Jp","B07R9XMRXX","22","3.4","1649","0","0","BB"
"2019-12-03","Jp","B07VNCB3XX","4","0.94","742","0","0","CC"
"2019-12-03","Jp","B07VPBDCXX","0","0","6","0","0","CC"
"2019-12-03","Jp","B01M3V7XXX","27","6.19","1681","0","0","DD"
"2019-12-03","Us","B071FH4HXX","32","15.33","11034","64.99","1","AA"
"2019-12-03","Us","B07PQLD9XX","16","11.07","8905","0","0","AA"
"2019-12-03","Us","B07PRL2MXX","14","14.48","3012","0","0","AA"
"2019-12-03","Us","B07TS5LSXX","22","15.19","3350","59.99","1","AA"
"2019-12-03","Us","B07WJYSSXX","60","36.78","11426","265.96","4","AA"
"2019-12-03","Us","B07WNT69XX","16","8.58","8892","0","0","AA"
"2019-12-03","Us","B06ZZRQKXX","30","20.18","20760","54.98","2","BB"
"2019-12-03","Us","B075M1F4XX","23","20.18","11567","78.98","2","BB"
"2019-12-03","Us","B07JXYLXXX","55","50.05","3700","299.95","5","BB"
"2019-12-03","Us","B07NRMHCXX","3","1.83","1296","0","0","BB"
"2019-12-03","Us","B07NRMHVXX","19","11.44","8798","65.9","10","BB"
"2019-12-03","Us","B07Q2BHCXX","5","3.01","5197","8.99","1","BB"
"2019-12-03","Us","B077ZRP3XX","186","136.19","29258","424.40999999999997","13","CC"
"2019-12-03","Us","B078NVL7XX","53","31.959999999999997","15327","184.74","6","CC"
"2019-12-03","Us","B07DJ32VXX","2","1.03","457","0","0","CC"
"2019-12-03","Us","B07DJ3WCXX","47","28.06","8831","64.84","2","CC"
"2019-12-03","Us","B07DJ429XX","0","0","80","0","0","CC"
"2019-12-03","Us","B07DJ4ZGXX","57","33.55","9994","100.13","3","CC"
"2019-12-03","Us","B07FNPP7XX","12","8.9","2823","35.09","1","CC"
"2019-12-03","Us","B07KF8L7XX","227","126.72999999999999","69324","772.82","24","CC"
"2019-12-03","Us","B07PSGNTXX","2","0.42","279","0","0","CC"
"2019-12-03","Us","B07TSH3BXX","3","2.17","2830","37.71","1","CC"
"2019-12-03","Us","B07TYV11XX","1","0.29","814","0","0","CC"
"2019-12-03","Us","B07Y4ZTBXX","8","5.65","3732","66.58","2","CC"
"2019-12-03","Us","B01M29YGXX","5","2.21","1648","0","0","DD"
"2019-12-03","Us","B07HNXPXXX","14","9.55","4391","0","0","DD"
"2019-12-03","Us","B07HNXVZXX","1","0.84","1067","0","0","DD"
"2019-12-03","Us","B07MDYLMXX","13","10.12","5052","0","0","DD"
"2019-12-03","Us","B07PQ5XNXX","11","9.14","5707","0","0","DD"
"2019-12-03","Us","B07PR959XX","10","5.5600000000000005","5768","0","0","DD"
"2019-12-03","Us","B07QBPSQXX","68","38.1","9587","107.96","4","EE"
"2019-12-03","Us","B07QBPTNXX","48","27.54","15018","0","0","EE"
"2019-12-03","Us","B07QFR2XXX","16","8.45","2325","20.99","1","EE"
"2019-12-03","Us","B07QLPG8XX","99","58.019999999999996","37945","290.92","8","EE"
"2019-12-03","Us","B07QPR1PXX","16","9.73","3562","193.94","6","EE"
"2019-12-03","Us","B07QV4QTXX","1","0.68","622","0","0","EE"
"2019-12-03","Us","B07QV4S8XX","4","2.87","985","0","0","EE"
"2019-12-03","Us","B07QY6R8XX","1","0.75","401","8.99","1","EE"
"2019-12-03","Us","B07R1HZVXX","3","2.21","400","0","0","EE"
"2019-12-03","Us","B07R2KP9XX","2","1.49","345","0","0","EE"
"2019-12-03","Us","B07S291NXX","0","0","188","0","0","EE"
"2019-12-03","Us","B07S4HN2XX","0","0","101","0","0","EE"
"2019-12-03","Us","B07TB311XX","0","0","71","0","0","EE"
"2019-12-04","Ca","B072LW84XX","24","14.98","3811","182.35","2","AA"
"2019-12-04","Ca","B074M6KGXX","26","18.759999999999998","2468","59.25","2","AA"
"2019-12-04","Ca","B074M766XX","31","21.79","6566","0","0","AA"
"2019-12-04","Ca","B072BP12XX","8","2.5199999999999996","3160","34.94","1","BB"
"2019-12-04","Ca","B078NT86XX","24","11.23","6978","91.16","3","CC"
"2019-12-04","Ca","B019R84IXX","3","2.88","604","72.94","1","DD"
"2019-12-04","Ca","B01F3DHEXX","4","1.7","711","0","0","DD"
"2019-12-04","Ca","B06VTR57XX","5","8.51","1007","0","0","DD"
"2019-12-04","Jp","B07X9LFKXX","10","2.56","4236","0","0","AA"
"2019-12-04","Jp","B07XCMZ1XX","12","3.34","4354","0","0","AA"
"2019-12-04","Jp","B07R7PRDXX","5","0.23","545","0","0","BB"
"2019-12-04","Jp","B07R9XMRXX","34","7.21","1707","0","0","BB"
"2019-12-04","Jp","B07VNCB3XX","5","1.08","1387","0","0","CC"
"2019-12-04","Jp","B01M3V7XXX","10","1.03","746","0","0","DD"
"2019-12-04","Us","B071FH4HXX","16","8.41","6909","279.96","4","AA"
"2019-12-04","Us","B07PQLD9XX","4","3.98","2374","0","0","AA"
"2019-12-04","Us","B07PRL2MXX","12","12.97","694","0","0","AA"
"2019-12-04","Us","B07TS5LSXX","12","8.51","2510","59.99","1","AA"
"2019-12-04","Us","B07WJYSSXX","33","20.880000000000003","6058","134.98","2","AA"
"2019-12-04","Us","B07WNT69XX","9","5.62","3567","39.99","1","AA"
"2019-12-04","Us","B06ZZRQKXX","39","25.59","11751","134.95","5","BB"
"2019-12-04","Us","B075M1F4XX","31","26.58","9111","35.99","1","BB"
"2019-12-04","Us","B07JXYLXXX","36","47.38","4535","131.98","2","BB"
"2019-12-04","Us","B07NRMHCXX","4","2.63","1233","0","0","BB"
"2019-12-04","Us","B07NRMHVXX","25","14.48","6594","13.18","2","BB"
"2019-12-04","Us","B07Q2BHCXX","5","3.17","4495","8.99","1","BB"
"2019-12-04","Us","B077ZRP3XX","181","106.50999999999999","24093","684.64","20","CC"
"2019-12-04","Us","B078NVL7XX","34","18.12","11745","29.69","1","CC"
"2019-12-04","Us","B07DJ32VXX","3","1.36","580","0","0","CC"
"2019-12-04","Us","B07DJ3WCXX","50","24.88","15063","99.41","3","CC"
"2019-12-04","Us","B07DJ429XX","4","1.23","113","0","0","CC"
"2019-12-04","Us","B07DJ4ZGXX","57","29.51","10414","161.21","5","CC"
"2019-12-04","Us","B07FNPP7XX","9","5.07","2444","33.29","1","CC"
"2019-12-04","Us","B07KF8L7XX","287","167.08","55387","594.87","19","CC"
"2019-12-04","Us","B07PSGNTXX","3","0.88","283","29.99","1","CC"
"2019-12-04","Us","B07TSH3BXX","4","2.67","1626","37.71","1","CC"
"2019-12-04","Us","B07TYV11XX","3","0.86","1437","0","0","CC"
"2019-12-04","Us","B07Y4ZTBXX","11","7.77","6727","0","0","CC"
"2019-12-04","Us","B01M29YGXX","8","5.13","1914","42.99","1","DD"
"2019-12-04","Us","B07HNXPXXX","18","11.85","5642","64.99","1","DD"
"2019-12-04","Us","B07HNXVZXX","6","4.19","2101","0","0","DD"
"2019-12-04","Us","B07PQ5XNXX","10","9.17","5124","0","0","DD"
"2019-12-04","Us","B07PR959XX","13","6.4799999999999995","1840","0","0","DD"
"2019-12-04","Us","B07QBPSQXX","53","29.71","7951","116.96000000000001","4","EE"
"2019-12-04","Us","B07QBPTNXX","49","28.369999999999997","16430","127.96","4","EE"
"2019-12-04","Us","B07QFR2XXX","17","9.82","2550","21.99","1","EE"
"2019-12-04","Us","B07QLPG8XX","98","59.019999999999996","36003","322.91","9","EE"
"2019-12-04","Us","B07QPR1PXX","29","17.2","4692","38.99","1","EE"
"2019-12-04","Us","B07QV4QTXX","2","1.49","1005","0","0","EE"
"2019-12-04","Us","B07QV4S8XX","5","3.54","2075","0","0","EE"
"2019-12-04","Us","B07QY6R8XX","2","1.47","1064","0","0","EE"
"2019-12-04","Us","B07R1HZVXX","3","1.89","1526","0","0","EE"
"2019-12-04","Us","B07R2KP9XX","1","0.75","258","0","0","EE"
"2019-12-04","Us","B07S291NXX","0","0","170","0","0","EE"
"2019-12-04","Us","B07S4HN2XX","0","0","83","0","0","EE"
"2019-12-04","Us","B07TB311XX","1","0.46","51","0","0","EE"
"2019-12-05","Ca","B074M6KGXX","27","20.82","2750","59.25","2","AA"
"2019-12-05","Ca","B074M766XX","28","18.53","5443","72.93","2","AA"
"2019-12-05","Ca","B078NT86XX","14","6.15","6922","31.91","1","CC"
"2019-12-05","Ca","B01F3DHEXX","5","1.95","1057","0","0","DD"
"2019-12-05","Ca","B06VTR57XX","8","8.57","941","0","0","DD"
"2019-12-05","Jp","B07X9LFKXX","10","3.01","3260","0","0","AA"
"2019-12-05","Jp","B07XCMZ1XX","12","3.32","3717","27.21","1","AA"
"2019-12-05","Jp","B07R7PRDXX","8","0.37","861","65.53","1","BB"
"2019-12-05","Jp","B07R9XMRXX","39","8.77","1635","65.53","1","BB"
"2019-12-05","Jp","B07VNCB3XX","5","1.16","899","0","0","CC"
"2019-12-05","Jp","B07VPBDCXX","0","0","10","0","0","CC"
"2019-12-05","Jp","B01M3V7XXX","30","7.17","2868","15.51","1","DD"
"2019-12-05","Us","B071FH4HXX","17","8.97","5057","69.99","1","AA"
"2019-12-05","Us","B07PQLD9XX","10","6.81","4403","64.99","1","AA"
"2019-12-05","Us","B07PRL2MXX","10","8.78","1314","0","0","AA"
"2019-12-05","Us","B07TS5LSXX","12","8.47","2049","59.99","1","AA"
"2019-12-05","Us","B07WJYSSXX","31","21.01","6397","132.98","2","AA"
"2019-12-05","Us","B07WNT69XX","9","5.01","3196","0","0","AA"
"2019-12-05","Us","B06ZZRQKXX","39","26.13","10473","26.99","1","BB"
"2019-12-05","Us","B075M1F4XX","28","25.74","8916","0","0","BB"
"2019-12-05","Us","B07JXYLXXX","43","47","3939","131.98","2","BB"
"2019-12-05","Us","B07NRMHCXX","4","2.68","1167","0","0","BB"
"2019-12-05","Us","B07NRMHVXX","24","13.33","7324","26.36","4","BB"
"2019-12-05","Us","B07Q2BHCXX","7","4.12","4282","0","0","BB"
"2019-12-05","Us","B077ZRP3XX","187","125.75999999999999","34586","694.07","21","CC"
"2019-12-05","Us","B078NVL7XX","35","18.02","9537","29.69","1","CC"
"2019-12-05","Us","B07DJ32VXX","1","0.51","209","0","0","CC"
"2019-12-05","Us","B07DJ3WCXX","29","13.89","11453","133.72","4","CC"
"2019-12-05","Us","B07DJ429XX","0","0","106","0","0","CC"
"2019-12-05","Us","B07DJ4ZGXX","71","34.46","12382","132.78","4","CC"
"2019-12-05","Us","B07FNPP7XX","9","6.8100000000000005","2932","38.99","1","CC"
"2019-12-05","Us","B07KF8L7XX","311","172.49","71828","678.4300000000001","21","CC"
"2019-12-05","Us","B07PSGNTXX","6","1.75","299","0","0","CC"
"2019-12-05","Us","B07TSH3BXX","3","1.6","1852","37.71","1","CC"
"2019-12-05","Us","B07TYV11XX","1","0.45","1847","0","0","CC"
"2019-12-05","Us","B07Y4ZTBXX","9","5.2","1671","63.88","2","CC"
"2019-12-05","Us","B01M29YGXX","10","5.91","1976","0","0","DD"
"2019-12-05","Us","B07HNXPXXX","8","5.42","2993","0","0","DD"
"2019-12-05","Us","B07HNXVZXX","4","3","1159","0","0","DD"
"2019-12-05","Us","B07PQ5XNXX","11","10.76","4319","64.99","1","DD"
"2019-12-05","Us","B07PR959XX","6","2.61","503","0","0","DD"
"2019-12-05","Us","B07S2QGSXX","9","6.68","2557","117.98","2","DD"
"2019-12-05","Us","B07QBPSQXX","52","29.950000000000003","11237","115.96","4","EE"
"2019-12-05","Us","B07QBPTNXX","25","15.940000000000001","14129","173.95","5","EE"
"2019-12-05","Us","B07QFR2XXX","16","8.21","3920","65.97","3","EE"
"2019-12-05","Us","B07QLPG8XX","90","52.629999999999995","32781","139.96","4","EE"
"2019-12-05","Us","B07QPR1PXX","29","16.75","7660","0","0","EE"
"2019-12-05","Us","B07QV4QTXX","1","0.74","773","0","0","EE"
"2019-12-05","Us","B07QV4S8XX","3","2.11","2225","0","0","EE"
"2019-12-05","Us","B07QY6R8XX","0","0","623","0","0","EE"
"2019-12-05","Us","B07R1HZVXX","4","2.79","812","0","0","EE"
"2019-12-05","Us","B07R2KP9XX","2","1.36","674","0","0","EE"
"2019-12-05","Us","B07S291NXX","0","0","212","0","0","EE"
"2019-12-05","Us","B07S4HN2XX","0","0","93","0","0","EE"
"2019-12-05","Us","B07TB311XX","1","0.93","75","0","0","EE"
"2019-12-06","Ca","B074M6KGXX","41","31.82","3228","177.75","6","AA"
"2019-12-06","Ca","B074M766XX","24","15.780000000000001","6080","0","0","AA"
"2019-12-06","Ca","B078NT86XX","15","7.17","6489","63.81","2","CC"
"2019-12-06","Ca","B01F3DHEXX","9","3.53","1607","0","0","DD"
"2019-12-06","Ca","B06VTR57XX","9","7.61","789","41.78","1","DD"
"2019-12-06","Jp","B07X9LFKXX","2","0.59","3283","0","0","AA"
"2019-12-06","Jp","B07XCMZ1XX","13","3.93","4194","0","0","AA"
"2019-12-06","Jp","B07R7PRDXX","3","0.13","493","0","0","BB"
"2019-12-06","Jp","B07R9XMRXX","62","14.580000000000002","3250","0","0","BB"
"2019-12-06","Jp","B07VNCB3XX","18","2.85","2268","20.58","1","CC"
"2019-12-06","Jp","B07VPBDCXX","0","0","10","0","0","CC"
"2019-12-06","Jp","B01M3V7XXX","21","4.2","3153","0","0","DD"
"2019-12-06","Us","B071FH4HXX","18","8.85","9212","0","0","AA"
"2019-12-06","Us","B07PQLD9XX","5","2.77","2644","69.99","1","AA"
"2019-12-06","Us","B07PRL2MXX","14","12.63","887","69.99","1","AA"
"2019-12-06","Us","B07TS5LSXX","11","7.68","1553","89.99","1","AA"
"2019-12-06","Us","B07WJYSSXX","33","21.05","9150","317.95","5","AA"
"2019-12-06","Us","B07WNT69XX","10","5.25","3854","0","0","AA"
"2019-12-06","Us","B06ZZRQKXX","36","24.13","20416","54.98","2","BB"
"2019-12-06","Us","B075M1F4XX","28","24.71","12310","0","0","BB"
"2019-12-06","Us","B07JXYLXXX","30","28.71","4157","0","0","BB"
"2019-12-06","Us","B07NRMHCXX","2","1.18","1889","0","0","BB"
"2019-12-06","Us","B07NRMHVXX","26","16.09","7882","13.18","2","BB"
"2019-12-06","Us","B07Q2BHCXX","4","2.3","5974","8.99","1","BB"
"2019-12-06","Us","B077ZRP3XX","216","143.92000000000002","38063","981.6199999999999","30","CC"
"2019-12-06","Us","B078NVL7XX","48","24.77","12850","33.29","1","CC"
"2019-12-06","Us","B07DJ32VXX","2","0.62","263","0","0","CC"
"2019-12-06","Us","B07DJ3WCXX","38","18.31","11591","98.53","3","CC"
"2019-12-06","Us","B07DJ429XX","1","0.37","134","0","0","CC"
"2019-12-06","Us","B07DJ4ZGXX","84","38.78000000000001","16005","272.65999999999997","8","CC"
"2019-12-06","Us","B07FNPP7XX","8","4.55","2649","29.69","1","CC"
"2019-12-06","Us","B07KF8L7XX","290","161.19","58678","550.79","17","CC"
"2019-12-06","Us","B07PSGNTXX","5","1.47","587","63.98","2","CC"
"2019-12-06","Us","B07TSH3BXX","2","1.15","1613","0","0","CC"
"2019-12-06","Us","B07TYV11XX","2","0.9","1870","0","0","CC"
"2019-12-06","Us","B07Y4ZTBXX","5","3.28","2523","66.58","2","CC"
"2019-12-06","Us","B01M29YGXX","9","5.83","1681","0","0","DD"
"2019-12-06","Us","B07HNXPXXX","15","10.58","4909","47.99","1","DD"
"2019-12-06","Us","B07HNXVZXX","23","15.17","7424","33.99","1","DD"
"2019-12-06","Us","B07PQ5XNXX","12","10.79","3954","0","0","DD"
"2019-12-06","Us","B07S2QGSXX","8","6.25","3970","0","0","DD"
"2019-12-06","Us","B07QBPSQXX","50","27.18","11291","139.95","5","EE"
"2019-12-06","Us","B07QBPTNXX","30","18.46","14443","257.92","8","EE"
"2019-12-06","Us","B07QFR2XXX","18","7.9","2657","65.97","3","EE"
"2019-12-06","Us","B07QLPG8XX","90","55.559999999999995","31098","184.95","5","EE"
"2019-12-06","Us","B07QPR1PXX","29","16.56","8268","69.98","2","EE"
"2019-12-06","Us","B07QV4QTXX","0","0","765","0","0","EE"
"2019-12-06","Us","B07QV4S8XX","6","4.4","2515","0","0","EE"
"2019-12-06","Us","B07QY6R8XX","0","0","585","0","0","EE"
"2019-12-06","Us","B07R1HZVXX","4","2.49","681","0","0","EE"
"2019-12-06","Us","B07R2KP9XX","2","1.42","880","0","0","EE"
"2019-12-06","Us","B07S291NXX","1","0.78","191","0","0","EE"
"2019-12-06","Us","B07S4HN2XX","1","0.79","129","0","0","EE"
"2019-12-06","Us","B07TB311XX","0","0","60","0","0","EE"
"2019-12-07","Ca","B074M6KGXX","28","19.84","3097","88.88","3","AA"
"2019-12-07","Ca","B074M766XX","40","26.93","6451","72.92","2","AA"
"2019-12-07","Ca","B078NT86XX","12","5.93","7270","31.91","1","CC"
"2019-12-07","Ca","B01F3DHEXX","3","1.23","797","0","0","DD"
"2019-12-07","Ca","B06VTR57XX","6","6.3500000000000005","945","0","0","DD"
"2019-12-07","Jp","B07X9LFKXX","12","3.45","2063","0","0","AA"
"2019-12-07","Jp","B07XCMZ1XX","14","4.32","2778","0","0","AA"
"2019-12-07","Jp","B07R7PRDXX","4","0.17","481","0","0","BB"
