"date","country","liulan","buyer","on_sell","sales_refund","refund_ratio","gmv_total","sales_total","brand"
"2019-12-01","Ca","227","146","3","0","0.0","745.453474","13","AA"
"2019-12-02","Ca","251","160","3","0","0.0","1182.826948","26","AA"
"2019-12-03","Ca","222","150","3","1","0.047599999999999996","1289.1530579999999","21","AA"
"2019-12-04","Ca","202","133","3","3","0.15789999999999998","1333.069862","19","AA"
"2019-12-05","Ca","105","67","3","0","0.0","254.104384","8","AA"
"2019-12-06","Ca","184","116","3","0","0.0","739.214854","23","AA"
"2019-12-07","Ca","152","101","3","0","0.0","512.83767","15","AA"
"2019-12-08","Ca","141","100","3","0","0.0","545.170666","17","AA"
"2019-12-09","Ca","97","67","3","0","0.0","291.066282","9","AA"
"2019-12-10","Ca","122","85","3","0","0.0","686.086458","21","AA"
"2019-12-11","Ca","132","88","3","3","0.2143","455.080372","14","AA"
"2019-12-12","Ca","132","85","3","3","0.16670000000000001","570.579564","18","AA"
"2019-12-13","Ca","143","96","3","1","0.0556","591.3749640000001","18","AA"
"2019-12-14","Ca","156","82","3","1","0.0526","626.7964619999999","19","AA"
"2019-12-15","Ca","166","105","3","0","0.0","786.967254","23","AA"
"2019-12-16","Ca","174","103","3","1","0.027000000000000003","1114.9800300000002","37","AA"
"2019-12-17","Ca","173","103","2","1","0.0455","708.414556","22","AA"
"2019-12-18","Ca","209","122","2","0","0.0","1062.637238","31","AA"
"2019-12-19","Ca","184","107","2","1","0.04","854.72945","25","AA"
"2019-12-20","Ca","116","82","2","2","0.0909","691.470156","22","AA"
"2019-12-21","Ca","166","107","2","0","0.0","551.332266","17","AA"
"2019-12-22","Ca","153","94","2","1","0.0909","348.045678","11","AA"
"2019-12-23","Ca","74","61","2","1","0.25","127.82239200000001","4","AA"
"2019-12-24","Ca","71","51","2","0","0.0","163.24389","5","AA"
"2019-12-25","Ca","142","89","2","0","0.0","260.265984","8","AA"
"2019-12-26","Ca","200","124","2","2","0.2857","234.086886","7","AA"
"2019-12-27","Ca","131","78","2","3","0.4286","271.056486","7","AA"
"2019-12-28","Ca","114","65","2","1","0.16670000000000001","194.044188","6","AA"
"2019-12-29","Ca","98","49","2","0","0.0","167.86508999999998","5","AA"
"2019-12-30","Ca","75","38","2","0","0.0","229.465686","7","AA"
"2019-12-31","Ca","28","20","2","1","0.3333","106.264494","3","AA"
"2019-12-01","Jp","434","276","3","0","0.0","1190.62509","17","AA"
"2019-12-02","Jp","281","180","3","0","0.0","840.848592","12","AA"
"2019-12-03","Jp","288","176","3","0","0.0","1431.638604","18","AA"
"2019-12-04","Jp","304","194","3","0","0.0","1071.1506000000002","13","AA"
"2019-12-05","Jp","375","232","3","0","0.0","884.6944800000001","12","AA"
"2019-12-06","Jp","400","257","4","0","0.0","1435.77693","17","AA"
"2019-12-07","Jp","468","278","4","0","0.0","1251.1816680000002","16","AA"
"2019-12-08","Jp","486","328","4","0","0.0","1677.003378","21","AA"
"2019-12-09","Jp","405","251","4","0","0.0","887.56446","12","AA"
"2019-12-10","Jp","275","190","4","0","0.0","917.9307000000001","12","AA"
"2019-12-11","Jp","307","201","4","0","0.0","854.42082","10","AA"
"2019-12-12","Jp","362","210","4","0","0.0","283.081866","4","AA"
"2019-12-13","Jp","302","202","4","0","0.0","1137.502686","14","AA"
"2019-12-14","Jp","373","257","4","0","0.0","538.5748920000001","7","AA"
"2019-12-15","Jp","382","274","4","0","0.0","1560.546996","19","AA"
"2019-12-16","Jp","303","195","4","0","0.0","937.1873400000001","13","AA"
"2019-12-17","Jp","349","242","4","1","0.0455","1588.5154140000002","22","AA"
"2019-12-18","Jp","442","264","4","0","0.0","1502.9714940000001","19","AA"
"2019-12-19","Jp","365","230","4","0","0.0","999.77142","15","AA"
"2019-12-20","Jp","506","280","4","1","0.0323","2030.83488","31","AA"
"2019-12-21","Jp","394","250","4","0","0.0","2533.460958","30","AA"
"2019-12-22","Jp","385","244","4","0","0.0","2116.5361860000003","26","AA"
"2019-12-23","Jp","433","250","4","1","0.0345","2644.816182","29","AA"
"2019-12-24","Jp","216","152","4","0","0.0","1198.26294","13","AA"
"2019-12-25","Jp","217","145","3","1","0.0833","1171.5999000000002","12","AA"
"2019-12-26","Jp","51","36","3","0","0.0","30.36624","1","AA"
"2019-12-27","Jp","44","25","3","0","0.0","114.05856000000001","4","AA"
"2019-12-28","Jp","44","32","3","0","0.0","57.02928000000001","2","AA"
"2019-12-29","Jp","70","50","3","0","0.0","115.91016","4","AA"
"2019-12-30","Jp","39","31","3","2","0.0","0.0","0","AA"
"2019-12-31","Jp","52","31","3","1","1.0","28.514640000000004","1","AA"
"2019-12-01","Us","1177","858","19","0","0.0","3367.25","55","AA"
"2019-12-02","Us","1362","894","19","8","0.0482","10315.929999999998","168","AA"
"2019-12-03","Us","795","555","19","2","0.0323","3990.36","64","AA"
"2019-12-04","Us","699","448","19","6","0.0984","4153.38","62","AA"
"2019-12-05","Us","779","472","20","6","0.1","4125.38","62","AA"
"2019-12-06","Us","818","500","20","3","0.047599999999999996","4154.37","64","AA"
"2019-12-07","Us","827","549","20","2","0.0364","3643.45","55","AA"
"2019-12-08","Us","792","515","19","2","0.0278","4748.28","72","AA"
"2019-12-09","Us","784","559","19","7","0.0814","5662.13","87","AA"
"2019-12-10","Us","650","430","20","4","0.069","3820.43","59","AA"
"2019-12-11","Us","641","437","20","5","0.0746","4394.33","67","AA"
"2019-12-12","Us","711","472","19","2","0.027000000000000003","4906.25","75","AA"
"2019-12-13","Us","711","442","19","4","0.036699999999999997","7190.9","110","AA"
"2019-12-14","Us","490","321","19","1","0.0161","4259.37","64","AA"
"2019-12-15","Us","574","369","19","1","0.0147","4639.3099999999995","70","AA"
"2019-12-16","Us","645","428","18","2","0.024399999999999998","5592.17","83","AA"
"2019-12-17","Us","681","387","19","1","0.0143","4343.3","70","AA"
"2019-12-18","Us","554","342","18","6","0.1","3994.4","60","AA"
"2019-12-19","Us","433","281","18","8","0.1379","3713.42","58","AA"
"2019-12-20","Us","424","262","19","6","0.09519999999999999","3715.37","63","AA"
"2019-12-21","Us","294","184","19","1","0.0213","2798.52","48","AA"
"2019-12-22","Us","205","129","17","0","0.0","2170.64","36","AA"
"2019-12-23","Us","189","131","17","9","0.40909999999999996","1349.78","22","AA"
"2019-12-24","Us","96","72","16","2","0.5","164.97","4","AA"
"2019-12-25","Us","170","111","17","1","0.11109999999999999","444.92","9","AA"
"2019-12-26","Us","154","110","17","7","1.0","419.93","7","AA"
"2019-12-27","Us","113","86","16","8","1.6","364.94","6","AA"
"2019-12-28","Us","140","97","16","5","0.8332999999999999","329.94","6","AA"
"2019-12-29","Us","107","70","16","5","0.3125","884.84","16","AA"
"2019-12-30","Us","129","94","16","6","1.5","254.96","4","AA"
"2019-12-31","Us","76","57","16","5","0.5","709.89","11","AA"
"2019-12-01","Ca","65","51","4","0","0.0","35.421498","1","BB"
"2019-12-02","Ca","63","53","4","0","0.0","35.421498","1","BB"
"2019-12-03","Ca","54","44","4","0","0.0","35.421498","1","BB"
"2019-12-04","Ca","45","29","4","0","0.0","106.264494","3","BB"
"2019-12-05","Ca","13","10","3","0","0.0","100.11829800000001","1","BB"
"2019-12-06","Ca","1","1","3","2","0.0","0.0","0","BB"
"2019-12-07","Ca","12","11","3","2","0.0","0.0","0","BB"
"2019-12-08","Ca","15","13","3","0","0.0","70.842996","2","BB"
"2019-12-09","Ca","1","1","1","0","0.0","0.0","0","BB"
"2019-12-10","Ca","0","0","1","1","0.0","0.0","0","BB"
"2019-12-11","Ca","2","2","1","1","0.0","0.0","0","BB"
"2019-12-12","Ca","27","22","1","1","1.0","61.608298","1","BB"
"2019-12-13","Ca","0","0","1","0","0.0","0.0","0","BB"
"2019-12-14","Ca","7","7","1","0","0.0","35.421498","1","BB"
"2019-12-15","Ca","0","0","1","0","0.0","0.0","0","BB"
"2019-12-16","Ca","1","1","2","1","0.0","0.0","0","BB"
"2019-12-17","Ca","4","4","1","0","0.0","61.608298","1","BB"
"2019-12-18","Ca","30","16","0","1","1.0","61.608298","1","BB"
"2019-12-19","Ca","0","0","0","0","0.0","0.0","0","BB"
"2019-12-20","Ca","0","0","0","0","0.0","0.0","0","BB"
"2019-12-21","Ca","1","1","1","0","0.0","0.0","0","BB"
"2019-12-22","Ca","0","0","0","1","0.0","0.0","0","BB"
"2019-12-23","Ca","4","3","0","2","0.0","0.0","0","BB"
"2019-12-24","Ca","6","6","0","0","0.0","0.0","0","BB"
"2019-12-25","Ca","3","3","0","0","0.0","35.421498","1","BB"
"2019-12-26","Ca","1","1","1","1","0.0","0.0","0","BB"
"2019-12-27","Ca","39","19","1","0","0.0","184.824894","3","BB"
"2019-12-28","Ca","21","15","1","0","0.0","0.0","0","BB"
"2019-12-29","Ca","40","26","1","0","0.0","61.608298","1","BB"
"2019-12-30","Ca","39","27","1","1","1.0","61.608298","1","BB"
"2019-12-31","Ca","46","38","1","0","0.0","0.0","0","BB"
"2019-12-01","Jp","96","80","3","0","0.0","221.238426","3","BB"
