"update_day","country","asin","orders_count","units_count","avg_price","gmv","profit","brand"
"2019-12-01","Jp","B07VNCB3XX","2","2","$22.05","45.23","4.33","CC"
"2019-12-01","Us","B077ZRP3XX","52","53","$34.42","1824.47","343.85","CC"
"2019-12-01","Us","B078NVL7XX","36","38","$32.47","1233.82","288.20","CC"
"2019-12-01","Us","B07KF8L7XX","36","36","$33.63","1210.74","220.23","CC"
"2019-12-01","Us","B07Y4ZTBXX","24","25","$36.62","915.55","286.15","CC"
"2019-12-01","Us","B07DJ429XX","24","24","$35.35","848.36","253.79","CC"
"2019-12-01","Us","B07DJ3WCXX","14","14","$37.45","524.26","152.84","CC"
"2019-12-01","Us","B07DJ4ZGXX","13","13","$36.99","480.87","118.98","CC"
"2019-12-01","Us","B07PSGNTXX","9","9","$29.99","269.91","47.45","CC"
"2019-12-01","Us","B07DJ32VXX","7","7","$45.99","321.93","118.91","CC"
"2019-12-01","Ca","B078NT86XX","4","4","$27.80","111.19","15.41","CC"
"2019-12-01","Us","B07TSH3BXX","4","4","$42.89","171.56","47.18","CC"
"2019-12-01","Us","B07FNPP7XX","3","3","$38.99","116.97","11.97","CC"
"2019-12-01","Us","B07TYV11XX","1","1","$46.99","46.99","14.27","CC"
"2019-12-01","Us","B07FNP5XXX","1","1","$33.99","33.99","0.80","CC"
"2019-12-01","Us","B071FH4HXX","8","9","$67.93","611.41","120.74","AA"
"2019-12-01","Us","B07WJYSSXX","8","8","$64.59","516.72","314.51","AA"
"2019-12-01","Ca","B072LW84XX","6","6","$90.17","541.01","197.43","AA"
"2019-12-01","Us","B07TS5LSXX","6","6","$64.66","387.94","31.47","AA"
"2019-12-01","Ca","B074M766XX","5","5","$34.56","172.80","3.38","AA"
"2019-12-01","Us","B07PRL2MXX","3","3","$67.99","203.97","115.03","AA"
"2019-12-01","Ca","B074M6KGXX","2","2","$29.30","58.60","1.27","AA"
"2019-12-01","Us","B07PQLD9XX","2","2","$80.74","161.48","29.70","AA"
"2019-12-01","Us","B07WNT69XX","0","0","$0.00","0.00","8.77","AA"
"2019-12-01","Us","B075M1F4XX","15","15","$35.99","539.85","38.94","BB"
"2019-12-01","Us","B06ZZRQKXX","9","9","$20.99","188.91","76.92","BB"
"2019-12-01","Us","B07JXYLXXX","6","6","$59.99","359.94","14.80","BB"
"2019-12-01","Us","B075M4S2XX","4","4","$38.99","155.96","22.85","BB"
"2019-12-01","Us","B07NRMHVXX","3","3","$6.59","19.77","9.53","BB"
"2019-12-01","Us","B06ZZRQLXX","2","2","$25.99","51.98","22.11","BB"
"2019-12-01","Ca","B072BP12XX","1","1","$34.56","34.56","5.16","BB"
"2019-12-01","Ca","B071NTQRXX","0","0","$0.00","0.00","0.00","BB"
"2019-12-01","Us","B07PX249XX","0","0","$0.00","0.00","0.43","BB"
"2019-12-01","Us","B07Q2BHCXX","0","0","$0.00","0.00","0.63","BB"
"2019-12-01","Us","B07NRMHCXX","0","0","$0.00","0.00","1.57","BB"
"2019-12-01","Jp","B07R9XMRXX","2","2","$71.12","145.89","64.93","BB"
"2019-12-01","Jp","B07R7PRDXX","1","1","$64.83","72.03","30.65","BB"
"2019-12-01","Jp","B01M3V7XXX","4","4","$21.88","87.51","15.38","DD"
"2019-12-01","Us","B07QLPG8XX","18","19","$34.99","664.81","293.38","EE"
"2019-12-01","Us","B07QBPTNXX","14","14","$30.99","433.86","83.22","EE"
"2019-12-01","Us","B07QBPSQXX","8","10","$24.99","249.90","1.74","EE"
"2019-12-01","Us","B07QFR2XXX","5","5","$22.99","114.95","11.78","EE"
"2019-12-01","Us","B07QV4S8XX","3","3","$8.99","26.97","12.33","EE"
"2019-12-01","Us","B07QLPG6XX","1","1","$45.99","45.99","9.97","EE"
"2019-12-01","Us","B07R1HZVXX","1","1","$8.99","8.99","0.09","EE"
"2019-12-01","Us","B07TB311XX","0","0","$0.00","0.00","1.30","EE"
"2019-12-01","Us","B07QY6R8XX","0","0","$0.00","0.00","0.74","EE"
