"country","asin","sales_rank","daily_units","price","stars","reviews","insert_date","rank_small"
"美国","B01M29YGXX","4668","5","42.99","4.4","134","2019-12-01","142"
"美国","B077ZRP3XX","217","40","29.99","4.3","369","2019-12-01","10"
"美国","B07QBPSQXX","31251","2","43.99","4.9","23","2019-12-01","49"
"美国","B07QBPTNXX","27081","3","41.99","4.9","23","2019-12-01","43"
"美国","B07QLPG6XX","189002","1","45.99","4.5","25","2019-12-01","222"
"美国","B07QPR1PXX","73212","2","42.99","4.5","25","2019-12-01","101"
"美国","B07QLPG8XX","26719","4","34.99","4.5","25","2019-12-01","42"
"美国","B07S16PZXX","283755","0","-1","4.8","17","2019-12-01","874"
"美国","B07S291NXX","184706","0","10.99","4.8","17","2019-12-01","578"
"美国","B07S4HN2XX","163599","0","14.59","5.0","2","2019-12-01","-1"
"美国","B07QW51WXX","140972","0","15.99","4.2","12","2019-12-01","-1"
"美国","B07QZBDQXX","196813","0","15.99","4.2","12","2019-12-01","-1"
"美国","B07TB3QWXX","191033","0","27.99","4.3","3","2019-12-01","-1"
"美国","B07TB311XX","214899","0","27.99","4.3","3","2019-12-01","-1"
"美国","B07QV4QTXX","209496","0","14.99","3.7","21","2019-12-01","5291"
"美国","B07R1HZVXX","138439","0","14.99","3.7","21","2019-12-01","3524"
"美国","B07QV4S8XX","90396","0","14.99","3.7","21","2019-12-01","2214"
"美国","B07QY6R8XX","135136","0","14.99","3.7","21","2019-12-01","3432"
"美国","B07R2KP9XX","229255","0","14.99","3.7","21","2019-12-01","5713"
"美国","B07QFR2XXX","5617","5","20.99","4.9","19","2019-12-01","45"
"日本","B07R8XZPXX","38723","-1","3080.0","4.5","8","2019-12-01","501"
"日本","B07R5RLPXX","22126","-1","2680.0","4.5","8","2019-12-01","280"
"日本","B07VNCB3XX","891","-1","2480.0","4.5","8","2019-12-01","10"
"日本","B07VPBDCXX","-1","-1","6680.0","4.5","8","2019-12-01","-1"
"日本","B07RB45KXX","88969","-1","3080.0","4.5","8","2019-12-01","1270"
"日本","B07RB45XXX","82505","-1","3080.0","4.5","8","2019-12-01","1159"
"加拿大","B078NT86XX","174","90","39.99","4.1","37","2019-12-01","13"
"加拿大","B078NTCXXX","13192","1","-1","4.1","37","2019-12-01","335"
"美国","B07HDYXTXX","-1","-1","-1",,"-1","2019-12-01","-1"
"美国","B07FNMKFXX","95679","0","-1","4.1","4","2019-12-01","-1"
"美国","B07FNPP7XX","25515","0","38.99","4.2","14","2019-12-01","590"
"美国","B07FNP5XXX","11567","0","33.99","4.2","14","2019-12-01","296"
"美国","B07DJ3B1XX","49462","0","-1","4.7","85","2019-12-01","1027"
"美国","B07DJ32VXX","2067","6","45.99","4.3","369","2019-12-01","70"
"美国","B07TYV11XX","14421","1","46.99","4.7","85","2019-12-01","366"
"美国","B07TSH3BXX","6054","6","43.99","4.7","85","2019-12-01","174"
"美国","B07VMXD6XX","13058","1","29.99","4.3","369","2019-12-01","332"
"美国","B07PSGNTXX","1709","6","29.99","4.3","369","2019-12-01","61"
"美国","B07DJ4ZGXX","907","15","35.99","4.3","369","2019-12-01","39"
"美国","B07DJ429XX","672","19","35.99","4.3","369","2019-12-01","25"
"美国","B07Y4ZTBXX","1161","10","35.99","4.3","369","2019-12-01","49"
"美国","B07DJ3WCXX","533","28","36.99","4.3","369","2019-12-01","22"
"美国","B078NVL7XX","341","30","32.99","4.3","369","2019-12-01","17"
"美国","B07KF8L7XX","524","28","32.99","4.3","369","2019-12-01","15"
"美国","B077ZRP3XX","217","40","29.99","4.3","369","2019-12-01","10"
"日本","B07X9LFKXX","11798","-1","4280.0","4.2","5","2019-12-01","141"
"日本","B07XCMZ1XX","1866","-1","3580.0","4.2","5","2019-12-01","19"
"日本","B07D8RK7XX","13437","-1","-1","3.9","32","2019-12-01","18"
"加拿大","B072XDH9XX","13040","1","-1","3.5","20","2019-12-01","37"
"加拿大","B072LW84XX","240","41","109.99","4.3","33","2019-12-01","1"
"加拿大","B072PRCLXX","12045","1","-1","2.5","20","2019-12-01","33"
"加拿大","B074M715XX","14942","1","-1","4.2","127","2019-12-01","375"
"加拿大","B074M766XX","423","17","45.99","4.2","127","2019-12-01","26"
"加拿大","B074M6KGXX","544","22","39.99","4.2","127","2019-12-01","35"
"加拿大","B072LW5WXX","14067","1","-1","3.9","16","2019-12-01","356"
"加拿大","B072J9CLXX","11542","1","-1","3.8","31","2019-12-01","303"
"加拿大","B072FPR1XX","13225","1","-1","4.1","16","2019-12-01","336"
"加拿大","B07175FDXX","14868","1","-1","4.0","6","2019-12-01","374"
"美国","B07PPGQZXX","29530","0","93.49","4.1","43","2019-12-01","516"
"美国","B07PN9S8XX","10948","1","84.99","4.1","43","2019-12-01","232"
"美国","B07PQLD9XX","4582","3","80.74","4.1","43","2019-12-01","123"
"美国","B07PRL2MXX","11754","3","67.99","4.1","43","2019-12-01","239"
"美国","B07TS5LSXX","5628","2","67.99","4.1","43","2019-12-01","150"
"美国","B071FH4HXX","1539","11","59.49","4.1","43","2019-12-01","48"
"美国","B07WMMMDXX","72816","0","-1","4.2","46","2019-12-01","375"
"美国","B07WNT69XX","37524","0","49.99","3.1","6","2019-12-01","633"
"美国","B07WJYSSXX","2133","9","65.99","4.2","46","2019-12-01","18"
"美国","B07WYXSMXX","20863","1","59.99","4.2","46","2019-12-01","362"
"日本","B07R7PRDXX","3576","-1","7999.0","3.7","4","2019-12-01","15"
"日本","B07R9XMRXX","6171","-1","7999.0","4.0","6","2019-12-01","31"
"日本","B07WCSYQXX","14432","-1","-1","1.0","3","2019-12-01","71"
"日本","B07R8TS8XX","14271","-1","6299.0","2.0","1","2019-12-01","56"
"加拿大","B071NTQRXX","10052","1","-1","3.7","119","2019-12-01","29"
"加拿大","B071L7RYXX","12235","1","-1","3.7","119","2019-12-01","34"
"加拿大","B0748DQ4XX","3884","4","-1","3.7","119","2019-12-01","10"
"加拿大","B07HSTK9XX","17183","1","-1","3.9","146","2019-12-01","424"
"加拿大","B071RZWGXX","18933","0","-1","3.9","146","2019-12-01","456"
"加拿大","B071S19TXX","16726","1","-1","3.9","146","2019-12-01","416"
"加拿大","B072BP12XX","338","32","37.99","3.9","146","2019-12-01","21"
"美国","B07JXYLXXX","2809","4","65.99","4.2","24","2019-12-01","82"
"美国","B07JD8ZHXX","81575","0","-1","3.8","22","2019-12-01","296"
"美国","B07HNJZDXX","64929","0","-1","3.9","63","2019-12-01","341"
"美国","B07JW2WSXX","75854","0","-1","3.9","63","2019-12-01","390"
"美国","B07J4S5DXX","16957","0","45.99","4.7","31","2019-12-01","419"
"美国","B07JXYSLXX","76214","0","-1","4.5","30","2019-12-01","1428"
"美国","B07PX249XX","82378","0","29.99","4.7","22","2019-12-01","288"
"美国","B07NRMHCXX","57305","0","16.99","4.7","22","2019-12-01","204"
"美国","B07Q2BHCXX","10378","0","9.99","4.7","22","2019-12-01","67"
"美国","B07NRMHVXX","4978","2","6.99","4.7","22","2019-12-01","31"
"美国","B07JPL8HXX","91300","0","-1","3.9","63","2019-12-01","-1"
"美国","B07JNVGFXX","81442","0","-1","3.9","63","2019-12-01","410"
"美国","B075M4S2XX","8085","1","40.99","4.4","140","2019-12-01","226"
"美国","B075M1F4XX","1050","6","28.99","4.4","140","2019-12-01","44"
"美国","B07G72ZBXX","72494","0","-1","3.6","22","2019-12-01","1374"
"美国","B06ZZRQKXX","2928","5","26.99","3.7","125","2019-12-01","91"
